x_m,y_m
-100.44,-29.167
-102.663,-17.675
-102.631,-5.739
-102.663,6.547
-102.663,18.547
-100.408,29.975
-96.027,40.8
-89.836,-50.044
-96.373,-40.245
-100.906,-29.346
-103.19,-17.771
-103.19,-5.728
-103.19,6.568
-103.19,18.61
-100.906,30.187
-96.373,41.065
-89.836,50.885
34.875,108.768
115.137,7.436
115.137,-10.056
-117.394,-9.961
-117.394,10.737
-85.391,55.816
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
999999.0,999999.0
